us_region,name,
Southeast,North Carolina,
Southeast,South Carolina,
Southeast,Georgia,
Southeast,Florida,
Southeast,Alabama,
Southeast,Mississippi,
Southeast,Louisiana,
Southeast,Texas,
Southeast,Arkansas,
Southeast,Iowa,
Southeast,Kansas,
Southeast,Kentucky,
Southeast,Missouri,
Southeast,Nebraska,
Southeast,New Mexico,
Southeast,Oklahoma,
Southeast,Tennessee,
New England/Mid-Atlantic,Maine,
New England/Mid-Atlantic,New Hampshire,
New England/Mid-Atlantic,Massachusetts,
New England/Mid-Atlantic,Rhode Island,
New England/Mid-Atlantic,Vermont,
New England/Mid-Atlantic,West Virginia,
New England/Mid-Atlantic,Ohio,
New England/Mid-Atlantic,Michigan,
New England/Mid-Atlantic,Indiana,
New England/Mid-Atlantic,Illinois,
New England/Mid-Atlantic,Wisconsin,
New England/Mid-Atlantic,Connecticut,
New England/Mid-Atlantic,New York,
New England/Mid-Atlantic,Pennsylvania,
New England/Mid-Atlantic,New Jersey,
New England/Mid-Atlantic,Delaware,
New England/Mid-Atlantic,Maryland,
New England/Mid-Atlantic,Virginia,
West Coast,Washington,
West Coast,Oregon,
West Coast,California,
West Coast,Idaho,
Pacific Islands,Hawaii,
Alaska,Alaska,